DateTime, Sensor, Temperature (Celcius), Pressure (hPa)
2017-07-05 00:00:29 +0800, BMP280, 29.355959, 1011.446106
2017-07-05 00:00:59 +0800, BMP280, 29.353952, 1011.448242
2017-07-05 00:01:29 +0800, BMP280, 29.355959, 1011.457092
2017-07-05 00:01:59 +0800, BMP280, 29.354956, 1011.444519
2017-07-05 00:02:29 +0800, BMP280, 29.345922, 1011.456726
2017-07-05 00:02:59 +0800, BMP280, 29.348932, 1011.418030
2017-07-05 00:03:29 +0800, BMP280, 29.354956, 1011.477295
2017-07-05 00:03:59 +0800, BMP280, 29.348932, 1011.418030
2017-07-05 00:04:29 +0800, BMP280, 29.351944, 1011.466736
2017-07-05 00:04:59 +0800, BMP280, 29.356962, 1011.469604
2017-07-05 00:05:29 +0800, BMP280, 29.349937, 1011.463379
2017-07-05 00:05:59 +0800, BMP280, 29.351944, 1011.461304
2017-07-05 00:06:29 +0800, BMP280, 29.350941, 1011.454163
2017-07-05 00:07:00 +0800, BMP280, 29.354956, 1011.444519
2017-07-05 00:07:30 +0800, BMP280, 29.354956, 1011.433594
2017-07-05 00:08:00 +0800, BMP280, 29.351944, 1011.450378
2017-07-05 00:08:30 +0800, BMP280, 29.353952, 1011.437317
2017-07-05 00:09:00 +0800, BMP280, 29.352947, 1011.452026
2017-07-05 00:09:30 +0800, BMP280, 29.352947, 1011.446594
2017-07-05 00:10:00 +0800, BMP280, 29.352947, 1011.424744
2017-07-05 00:10:30 +0800, BMP280, 29.358971, 1011.467590
2017-07-05 00:11:00 +0800, BMP280, 29.355959, 1011.467957
2017-07-05 00:11:30 +0800, BMP280, 29.351944, 1011.461304
2017-07-05 00:12:00 +0800, BMP280, 29.350941, 1011.432251
2017-07-05 00:12:30 +0800, BMP280, 29.352947, 1011.441101
2017-07-05 00:13:00 +0800, BMP280, 29.350941, 1011.443237
2017-07-05 00:13:30 +0800, BMP280, 29.351944, 1011.433960
2017-07-05 00:14:00 +0800, BMP280, 29.347929, 1011.427307
2017-07-05 00:14:30 +0800, BMP280, 29.349937, 1011.414246
2017-07-05 00:15:00 +0800, BMP280, 29.351944, 1011.450378
2017-07-05 00:15:30 +0800, BMP280, 29.353952, 1011.431824
2017-07-05 00:16:00 +0800, BMP280, 29.355959, 1011.418884
2017-07-05 00:16:30 +0800, BMP280, 29.356962, 1011.431335
2017-07-05 00:17:00 +0800, BMP280, 29.355959, 1011.451538
2017-07-05 00:17:30 +0800, BMP280, 29.350941, 1011.448669
2017-07-05 00:18:00 +0800, BMP280, 29.362986, 1011.408630
2017-07-05 00:18:30 +0800, BMP280, 29.354956, 1011.400757
2017-07-05 00:19:00 +0800, BMP280, 29.349937, 1011.403259
2017-07-05 00:19:30 +0800, BMP280, 29.363989, 1011.448547
2017-07-05 00:20:00 +0800, BMP280, 29.355959, 1011.402405
2017-07-05 00:20:30 +0800, BMP280, 29.358971, 1011.407471
2017-07-05 00:21:00 +0800, BMP280, 29.362986, 1011.403259
2017-07-05 00:21:30 +0800, BMP280, 29.357967, 1011.422180
2017-07-05 00:22:00 +0800, BMP280, 29.353952, 1011.382629
2017-07-05 00:22:30 +0800, BMP280, 29.358971, 1011.369141
2017-07-05 00:23:00 +0800, BMP280, 29.356962, 1011.338562
2017-07-05 00:23:30 +0800, BMP280, 29.357967, 1011.416687
2017-07-05 00:24:00 +0800, BMP280, 29.362986, 1011.419495
2017-07-05 00:24:30 +0800, BMP280, 29.358971, 1011.407471
2017-07-05 00:25:00 +0800, BMP280, 29.361982, 1011.390625
2017-07-05 00:25:30 +0800, BMP280, 29.361982, 1011.428772
2017-07-05 00:26:00 +0800, BMP280, 29.359974, 1011.414551
2017-07-05 00:26:30 +0800, BMP280, 29.365997, 1011.440979
2017-07-05 00:27:01 +0800, BMP280, 29.355959, 1011.418823
2017-07-05 00:27:31 +0800, BMP280, 29.367001, 1011.437195
2017-07-05 00:28:01 +0800, BMP280, 29.369009, 1011.429565
2017-07-05 00:28:31 +0800, BMP280, 29.359974, 1011.381836
2017-07-05 00:29:01 +0800, BMP280, 29.365997, 1011.408142
2017-07-05 00:29:31 +0800, BMP280, 29.365997, 1011.397156
2017-07-05 00:30:01 +0800, BMP280, 29.367001, 1011.398926
2017-07-05 00:30:31 +0800, BMP280, 29.365997, 1011.435486
2017-07-05 00:31:01 +0800, BMP280, 29.371016, 1011.411072
2017-07-05 00:31:31 +0800, BMP280, 29.368004, 1011.400574
2017-07-05 00:32:01 +0800, BMP280, 29.371016, 1011.422058
2017-07-05 00:32:31 +0800, BMP280, 29.365997, 1011.413635
2017-07-05 00:33:01 +0800, BMP280, 29.369009, 1011.413147
2017-07-05 00:33:31 +0800, BMP280, 29.369009, 1011.418640
2017-07-05 00:34:01 +0800, BMP280, 29.370012, 1011.442139
2017-07-05 00:34:31 +0800, BMP280, 29.367001, 1011.442627
2017-07-05 00:35:01 +0800, BMP280, 29.367001, 1011.431702
2017-07-05 00:35:31 +0800, BMP280, 29.372019, 1011.461853
2017-07-05 00:36:01 +0800, BMP280, 29.372019, 1011.478271
2017-07-05 00:36:31 +0800, BMP280, 29.375031, 1011.466858
2017-07-05 00:37:01 +0800, BMP280, 29.373024, 1011.485413
2017-07-05 00:37:31 +0800, BMP280, 29.374027, 1011.481567
2017-07-05 00:38:01 +0800, BMP280, 29.372019, 1011.494629
2017-07-05 00:38:31 +0800, BMP280, 29.371016, 1011.454773
