DateTime, Sensor, Temperature (Celcius), Pressure (hPa)
2017-09-11 00:00:07 +0800, BMP280, 29.370012, 1010.863037
2017-09-11 00:00:37 +0800, BMP280, 29.358971, 1010.872070
2017-09-11 00:01:07 +0800, BMP280, 29.360979, 1010.853516
2017-09-11 00:01:37 +0800, BMP280, 29.364994, 1010.838379
2017-09-11 00:02:07 +0800, BMP280, 29.368004, 1010.859680
2017-09-11 00:02:37 +0800, BMP280, 29.363989, 1010.842102
2017-09-11 00:03:07 +0800, BMP280, 29.365997, 1010.834534
2017-09-11 00:03:37 +0800, BMP280, 29.357967, 1010.788513
2017-09-11 00:04:07 +0800, BMP280, 29.365997, 1010.790833
2017-09-11 00:04:37 +0800, BMP280, 29.358971, 1010.779175
2017-09-11 00:05:07 +0800, BMP280, 29.358971, 1010.740845
2017-09-11 00:05:37 +0800, BMP280, 29.350941, 1010.771240
2017-09-11 00:06:07 +0800, BMP280, 29.355959, 1010.768677
2017-09-11 00:06:37 +0800, BMP280, 29.358971, 1010.740906
2017-09-11 00:07:07 +0800, BMP280, 29.355959, 1010.730347
2017-09-11 00:07:37 +0800, BMP280, 29.356962, 1010.737549
2017-09-11 00:08:07 +0800, BMP280, 29.358971, 1010.740967
2017-09-11 00:08:37 +0800, BMP280, 29.354956, 1010.712402
2017-09-11 00:09:07 +0800, BMP280, 29.353952, 1010.721680
2017-09-11 00:09:37 +0800, BMP280, 29.360979, 1010.733337
2017-09-11 00:10:07 +0800, BMP280, 29.357967, 1010.744690
2017-09-11 00:10:37 +0800, BMP280, 29.357967, 1010.728333
2017-09-11 00:11:07 +0800, BMP280, 29.358971, 1010.708130
2017-09-11 00:11:37 +0800, BMP280, 29.363989, 1010.721924
2017-09-11 00:12:07 +0800, BMP280, 29.363989, 1010.705566
2017-09-11 00:12:37 +0800, BMP280, 29.365997, 1010.708862
2017-09-11 00:13:07 +0800, BMP280, 29.362986, 1010.676697
2017-09-11 00:13:37 +0800, BMP280, 29.369009, 1010.697449
2017-09-11 00:14:07 +0800, BMP280, 29.360979, 1010.667786
2017-09-11 00:14:37 +0800, BMP280, 29.365997, 1010.665161
2017-09-11 00:15:07 +0800, BMP280, 29.363989, 1010.651001
2017-09-11 00:15:37 +0800, BMP280, 29.368004, 1010.641174
2017-09-11 00:16:07 +0800, BMP280, 29.370012, 1010.628113
2017-09-11 00:16:37 +0800, BMP280, 29.365997, 1010.632446
2017-09-11 00:17:07 +0800, BMP280, 29.373024, 1010.583923
2017-09-11 00:17:37 +0800, BMP280, 29.371016, 1010.602478
2017-09-11 00:18:08 +0800, BMP280, 29.370012, 1010.584412
2017-09-11 00:18:38 +0800, BMP280, 29.373024, 1010.611267
2017-09-11 00:19:08 +0800, BMP280, 29.375031, 1010.565430
2017-09-11 00:19:38 +0800, BMP280, 29.374027, 1010.591003
2017-09-11 00:20:08 +0800, BMP280, 29.378042, 1010.592285
2017-09-11 00:20:38 +0800, BMP280, 29.378042, 1010.641418
2017-09-11 00:21:08 +0800, BMP280, 29.376034, 1010.616272
2017-09-11 00:21:38 +0800, BMP280, 29.380049, 1010.611938
2017-09-11 00:22:08 +0800, BMP280, 29.379045, 1010.615784
2017-09-11 00:22:38 +0800, BMP280, 29.377039, 1010.623352
2017-09-11 00:23:08 +0800, BMP280, 29.383060, 1010.622375
2017-09-11 00:23:38 +0800, BMP280, 29.380049, 1010.590149
2017-09-11 00:24:08 +0800, BMP280, 29.383060, 1010.638794
2017-09-11 00:24:38 +0800, BMP280, 29.384064, 1010.613159
2017-09-11 00:25:08 +0800, BMP280, 29.381054, 1010.619080
2017-09-11 00:25:38 +0800, BMP280, 29.385069, 1010.625732
2017-09-11 00:26:08 +0800, BMP280, 29.381054, 1010.580811
2017-09-11 00:26:38 +0800, BMP280, 29.388081, 1010.603455
2017-09-11 00:27:08 +0800, BMP280, 29.385069, 1010.614807
2017-09-11 00:27:38 +0800, BMP280, 29.385069, 1010.625732
2017-09-11 00:28:08 +0800, BMP280, 29.388081, 1010.587036
2017-09-11 00:28:38 +0800, BMP280, 29.387075, 1010.618164
2017-09-11 00:29:08 +0800, BMP280, 29.386072, 1010.622009
2017-09-11 00:29:38 +0800, BMP280, 29.387075, 1010.634583
2017-09-11 00:30:08 +0800, BMP280, 29.395105, 1010.642395
2017-09-11 00:30:38 +0800, BMP280, 29.391090, 1010.624817
2017-09-11 00:31:08 +0800, BMP280, 29.393099, 1010.622681
2017-09-11 00:31:38 +0800, BMP280, 29.392096, 1010.621033
2017-09-11 00:32:08 +0800, BMP280, 29.396111, 1010.638550
2017-09-11 00:32:38 +0800, BMP280, 29.391090, 1010.624756
2017-09-11 00:33:08 +0800, BMP280, 29.393099, 1010.595398
2017-09-11 00:33:38 +0800, BMP280, 29.398117, 1010.570862
2017-09-11 00:34:08 +0800, BMP280, 29.389084, 1010.572266
2017-09-11 00:34:38 +0800, BMP280, 29.389084, 1010.545044
2017-09-11 00:35:08 +0800, BMP280, 29.390087, 1010.508423
2017-09-11 00:35:38 +0800, BMP280, 29.389084, 1010.517700
2017-09-11 00:36:08 +0800, BMP280, 29.393099, 1010.535278
2017-09-11 00:36:38 +0800, BMP280, 29.392096, 1010.528076
2017-09-11 00:37:08 +0800, BMP280, 29.391090, 1010.504639
2017-09-11 00:37:38 +0800, BMP280, 29.391090, 1010.515625
2017-09-11 00:38:09 +0800, BMP280, 29.395105, 1010.516785
2017-09-11 00:38:39 +0800, BMP280, 29.397114, 1010.525513
2017-09-11 00:39:09 +0800, BMP280, 29.396111, 1010.523926
2017-09-11 00:39:39 +0800, BMP280, 29.394102, 1010.493225
2017-09-11 00:40:09 +0800, BMP280, 29.396111, 1010.491089
2017-09-11 00:40:39 +0800, BMP280, 29.400126, 1010.514221
2017-09-11 00:41:09 +0800, BMP280, 29.398117, 1010.499878
2017-09-11 00:41:39 +0800, BMP280, 29.401129, 1010.504883
2017-09-11 00:42:09 +0800, BMP280, 29.397114, 1010.498230
2017-09-11 00:42:39 +0800, BMP280, 29.396111, 1010.485657
2017-09-11 00:43:09 +0800, BMP280, 29.395105, 1010.494934
2017-09-11 00:43:39 +0800, BMP280, 29.400126, 1010.475891
2017-09-11 00:44:09 +0800, BMP280, 29.397114, 1010.470947
2017-09-11 00:44:39 +0800, BMP280, 29.400126, 1010.481323
2017-09-11 00:45:09 +0800, BMP280, 29.402132, 1010.473816
2017-09-11 00:45:39 +0800, BMP280, 29.404140, 1010.477173
2017-09-11 00:46:09 +0800, BMP280, 29.405144, 1010.467834
2017-09-11 00:46:39 +0800, BMP280, 29.404140, 1010.460754
2017-09-11 00:47:09 +0800, BMP280, 29.408155, 1010.461975
2017-09-11 00:47:39 +0800, BMP280, 29.402132, 1010.430054
2017-09-11 00:48:09 +0800, BMP280, 29.406147, 1010.475037
2017-09-11 00:48:39 +0800, BMP280, 29.412170, 1010.485046
