DateTime, Sensor, Temperature (Celcius), Pressure (hPa)
2018-08-17 00:00:09 +0800, BMP280, 29.097994, 998.880310
2018-08-17 00:00:39 +0800, BMP280, 29.091970, 998.854187
2018-08-17 00:01:09 +0800, BMP280, 29.098997, 998.843750
2018-08-17 00:01:39 +0800, BMP280, 29.097994, 998.885803
2018-08-17 00:02:09 +0800, BMP280, 29.098997, 998.876526
2018-08-17 00:02:39 +0800, BMP280, 29.100002, 998.889038
2018-08-17 00:03:09 +0800, BMP280, 29.101006, 998.890747
2018-08-17 00:03:39 +0800, BMP280, 29.097994, 998.880310
2018-08-17 00:04:09 +0800, BMP280, 29.105021, 998.886475
2018-08-17 00:04:39 +0800, BMP280, 29.097994, 998.853088
2018-08-17 00:05:09 +0800, BMP280, 29.100002, 998.900024
2018-08-17 00:05:39 +0800, BMP280, 29.101006, 998.890686
2018-08-17 00:06:09 +0800, BMP280, 29.102009, 998.875977
2018-08-17 00:06:39 +0800, BMP280, 29.104017, 998.901184
2018-08-17 00:07:09 +0800, BMP280, 29.105021, 998.902832
2018-08-17 00:07:40 +0800, BMP280, 29.106024, 998.926331
2018-08-17 00:08:10 +0800, BMP280, 29.107027, 998.906067
2018-08-17 00:08:40 +0800, BMP280, 29.110039, 998.927490
2018-08-17 00:09:10 +0800, BMP280, 29.106024, 998.893494
2018-08-17 00:09:40 +0800, BMP280, 29.110039, 998.916565
2018-08-17 00:10:10 +0800, BMP280, 29.108032, 998.907776
2018-08-17 00:10:40 +0800, BMP280, 29.108032, 998.880493
2018-08-17 00:11:10 +0800, BMP280, 29.109035, 998.914795
2018-08-17 00:11:40 +0800, BMP280, 29.116062, 998.920898
2018-08-17 00:12:10 +0800, BMP280, 29.113050, 998.926880
2018-08-17 00:12:40 +0800, BMP280, 29.117065, 998.928040
2018-08-17 00:13:10 +0800, BMP280, 29.119072, 998.974976
2018-08-17 00:13:40 +0800, BMP280, 29.115057, 998.930176
2018-08-17 00:14:10 +0800, BMP280, 29.115057, 998.897400
2018-08-17 00:14:40 +0800, BMP280, 29.118069, 998.940613
2018-08-17 00:15:10 +0800, BMP280, 29.119072, 998.893066
2018-08-17 00:15:40 +0800, BMP280, 29.118069, 998.929688
2018-08-17 00:16:10 +0800, BMP280, 29.115057, 998.913757
2018-08-17 00:16:40 +0800, BMP280, 29.116062, 998.915466
2018-08-17 00:17:10 +0800, BMP280, 29.119072, 998.914917
2018-08-17 00:17:40 +0800, BMP280, 29.118069, 998.929626
2018-08-17 00:18:10 +0800, BMP280, 29.121080, 998.912781
2018-08-17 00:18:40 +0800, BMP280, 29.122084, 998.903564
2018-08-17 00:19:10 +0800, BMP280, 29.120077, 998.916565
2018-08-17 00:19:40 +0800, BMP280, 29.122084, 998.925354
2018-08-17 00:20:10 +0800, BMP280, 29.121080, 998.896423
2018-08-17 00:20:40 +0800, BMP280, 29.120077, 998.911133
2018-08-17 00:21:10 +0800, BMP280, 29.125095, 998.930359
2018-08-17 00:21:40 +0800, BMP280, 29.125095, 998.924927
2018-08-17 00:22:10 +0800, BMP280, 29.127102, 998.939148
2018-08-17 00:22:40 +0800, BMP280, 29.126099, 998.904724
2018-08-17 00:23:10 +0800, BMP280, 29.124092, 998.917786
2018-08-17 00:23:40 +0800, BMP280, 29.124092, 998.917786
2018-08-17 00:24:10 +0800, BMP280, 29.126099, 998.937500
2018-08-17 00:24:40 +0800, BMP280, 29.130114, 998.916748
2018-08-17 00:25:10 +0800, BMP280, 29.130114, 998.911255
2018-08-17 00:25:40 +0800, BMP280, 29.127102, 998.900940
2018-08-17 00:26:10 +0800, BMP280, 29.133125, 998.927124
2018-08-17 00:26:40 +0800, BMP280, 29.132122, 998.952759
2018-08-17 00:27:10 +0800, BMP280, 29.131117, 998.940308
2018-08-17 00:27:40 +0800, BMP280, 29.138144, 998.902649
2018-08-17 00:28:10 +0800, BMP280, 29.135132, 998.930359
2018-08-17 00:28:41 +0800, BMP280, 29.131117, 998.902100
2018-08-17 00:29:11 +0800, BMP280, 29.134129, 998.890564
2018-08-17 00:29:41 +0800, BMP280, 29.134129, 998.868774
2018-08-17 00:30:11 +0800, BMP280, 29.134129, 998.885010
2018-08-17 00:30:41 +0800, BMP280, 29.140152, 998.862244
2018-08-17 00:31:11 +0800, BMP280, 29.137140, 998.884521
2018-08-17 00:31:41 +0800, BMP280, 29.141155, 998.885681
2018-08-17 00:32:11 +0800, BMP280, 29.140152, 998.873169
2018-08-17 00:32:41 +0800, BMP280, 29.138144, 998.875305
2018-08-17 00:33:11 +0800, BMP280, 29.140152, 998.856812
2018-08-17 00:33:41 +0800, BMP280, 29.143164, 998.867188
2018-08-17 00:34:11 +0800, BMP280, 29.140152, 998.878601
2018-08-17 00:34:41 +0800, BMP280, 29.138144, 998.848022
2018-08-17 00:35:11 +0800, BMP280, 29.143164, 998.845398
2018-08-17 00:35:41 +0800, BMP280, 29.146173, 998.861145
2018-08-17 00:36:11 +0800, BMP280, 29.138144, 998.864441
2018-08-17 00:36:41 +0800, BMP280, 29.143164, 998.845337
2018-08-17 00:37:11 +0800, BMP280, 29.142159, 998.903809
2018-08-17 00:37:41 +0800, BMP280, 29.145170, 998.859619
2018-08-17 00:38:11 +0800, BMP280, 29.141155, 998.863892
2018-08-17 00:38:41 +0800, BMP280, 29.143164, 998.872620
2018-08-17 00:39:11 +0800, BMP280, 29.145170, 998.870483
2018-08-17 00:39:41 +0800, BMP280, 29.145170, 998.886841
2018-08-17 00:40:11 +0800, BMP280, 29.146173, 998.904846
2018-08-17 00:40:41 +0800, BMP280, 29.148182, 998.891724
2018-08-17 00:41:11 +0800, BMP280, 29.148182, 998.902771
2018-08-17 00:41:41 +0800, BMP280, 29.152197, 998.876465
2018-08-17 00:42:11 +0800, BMP280, 29.149185, 998.915161
2018-08-17 00:42:41 +0800, BMP280, 29.150188, 998.900452
2018-08-17 00:43:11 +0800, BMP280, 29.153200, 998.927246
2018-08-17 00:43:41 +0800, BMP280, 29.156212, 998.904968
2018-08-17 00:44:11 +0800, BMP280, 29.150188, 998.894958
2018-08-17 00:44:41 +0800, BMP280, 29.152197, 998.892822
2018-08-17 00:45:11 +0800, BMP280, 29.150188, 998.895020
2018-08-17 00:45:41 +0800, BMP280, 29.151194, 998.918457
2018-08-17 00:46:11 +0800, BMP280, 29.153200, 998.927246
2018-08-17 00:46:41 +0800, BMP280, 29.152197, 998.920105
2018-08-17 00:47:11 +0800, BMP280, 29.155209, 998.919678
2018-08-17 00:47:41 +0800, BMP280, 29.158218, 998.924622
2018-08-17 00:48:11 +0800, BMP280, 29.156212, 998.910339
2018-08-17 00:48:41 +0800, BMP280, 29.161230, 998.940491
2018-08-17 00:49:11 +0800, BMP280, 29.158218, 998.919128
2018-08-17 00:49:42 +0800, BMP280, 29.157215, 998.917542
2018-08-17 00:50:12 +0800, BMP280, 29.159224, 998.931702
2018-08-17 00:50:42 +0800, BMP280, 29.160227, 998.933411
2018-08-17 00:51:12 +0800, BMP280, 29.157215, 998.917480
2018-08-17 00:51:42 +0800, BMP280, 29.164242, 998.967163
2018-08-17 00:52:12 +0800, BMP280, 29.157215, 998.944763
2018-08-17 00:52:42 +0800, BMP280, 29.155209, 998.892395
2018-08-17 00:53:12 +0800, BMP280, 29.159224, 998.948120
2018-08-17 00:53:42 +0800, BMP280, 29.161230, 998.929626
2018-08-17 00:54:12 +0800, BMP280, 29.161230, 998.896851
2018-08-17 00:54:42 +0800, BMP280, 29.164242, 998.918091
2018-08-17 00:55:12 +0800, BMP280, 29.160227, 998.911560
2018-08-17 00:55:42 +0800, BMP280, 29.161230, 998.929565
2018-08-17 00:56:12 +0800, BMP280, 29.159224, 998.888062
2018-08-17 00:56:42 +0800, BMP280, 29.164242, 998.890808
2018-08-17 00:57:12 +0800, BMP280, 29.163239, 998.889160
2018-08-17 00:57:42 +0800, BMP280, 29.165245, 998.870544
2018-08-17 00:58:12 +0800, BMP280, 29.164242, 998.879822
2018-08-17 00:58:42 +0800, BMP280, 29.168257, 998.902832
2018-08-17 00:59:12 +0800, BMP280, 29.164242, 998.885376
2018-08-17 00:59:42 +0800, BMP280, 29.167253, 998.868469
2018-08-17 01:00:12 +0800, BMP280, 29.170265, 998.873352
2018-08-17 01:00:42 +0800, BMP280, 29.167253, 998.912109
2018-08-17 01:01:12 +0800, BMP280, 29.171268, 998.935120
2018-08-17 01:01:42 +0800, BMP280, 29.171268, 998.913269
2018-08-17 01:02:12 +0800, BMP280, 29.165245, 998.919678
2018-08-17 01:02:42 +0800, BMP280, 29.167253, 998.901184
2018-08-17 01:03:12 +0800, BMP280, 29.168257, 998.913696
2018-08-17 01:03:42 +0800, BMP280, 29.167253, 998.912109
2018-08-17 01:04:12 +0800, BMP280, 29.173275, 998.954834
2018-08-17 01:04:42 +0800, BMP280, 29.167253, 998.944885
2018-08-17 01:05:12 +0800, BMP280, 29.176287, 998.927063
2018-08-17 01:05:42 +0800, BMP280, 29.177290, 998.895935
2018-08-17 01:06:12 +0800, BMP280, 29.173275, 998.894714
2018-08-17 01:06:42 +0800, BMP280, 29.177290, 998.923218
2018-08-17 01:07:12 +0800, BMP280, 29.177290, 998.917786
2018-08-17 01:07:42 +0800, BMP280, 29.176287, 998.910583
2018-08-17 01:08:12 +0800, BMP280, 29.177290, 998.890503
2018-08-17 01:08:42 +0800, BMP280, 29.178295, 998.913940
2018-08-17 01:09:12 +0800, BMP280, 29.176287, 998.867004
2018-08-17 01:09:42 +0800, BMP280, 29.178295, 998.897644
2018-08-17 01:10:13 +0800, BMP280, 29.181305, 998.869751
2018-08-17 01:10:43 +0800, BMP280, 29.180302, 998.818970
2018-08-17 01:11:13 +0800, BMP280, 29.186325, 998.839722
2018-08-17 01:11:43 +0800, BMP280, 29.179298, 998.839233
2018-08-17 01:12:13 +0800, BMP280, 29.180302, 998.797180
2018-08-17 01:12:43 +0800, BMP280, 29.180302, 998.824463
2018-08-17 01:13:13 +0800, BMP280, 29.179298, 998.800903
2018-08-17 01:13:43 +0800, BMP280, 29.183313, 998.796631
2018-08-17 01:14:13 +0800, BMP280, 29.182310, 998.773071
2018-08-17 01:14:43 +0800, BMP280, 29.185320, 998.832581
2018-08-17 01:15:13 +0800, BMP280, 29.187328, 998.841370
2018-08-17 01:15:43 +0800, BMP280, 29.184317, 998.830933
2018-08-17 01:16:13 +0800, BMP280, 29.187328, 998.852295
2018-08-17 01:16:43 +0800, BMP280, 29.187328, 998.857727
2018-08-17 01:17:13 +0800, BMP280, 29.185320, 998.854492
2018-08-17 01:17:43 +0800, BMP280, 29.187328, 998.835876
2018-08-17 01:18:13 +0800, BMP280, 29.183313, 998.878479
2018-08-17 01:18:43 +0800, BMP280, 29.186325, 998.817810
2018-08-17 01:19:13 +0800, BMP280, 29.190340, 998.851807
2018-08-17 01:19:43 +0800, BMP280, 29.188332, 998.859375
2018-08-17 01:20:13 +0800, BMP280, 29.189335, 998.844666
2018-08-17 01:20:43 +0800, BMP280, 29.185320, 998.848999
2018-08-17 01:21:13 +0800, BMP280, 29.189335, 998.893799
2018-08-17 01:21:43 +0800, BMP280, 29.189335, 998.860962
2018-08-17 01:22:13 +0800, BMP280, 29.194355, 998.852905
2018-08-17 01:22:43 +0800, BMP280, 29.195358, 998.887268
2018-08-17 01:23:13 +0800, BMP280, 29.195358, 998.898193
2018-08-17 01:23:43 +0800, BMP280, 29.193350, 998.894897
2018-08-17 01:24:13 +0800, BMP280, 29.193350, 998.900391
2018-08-17 01:24:43 +0800, BMP280, 29.195358, 998.919983
2018-08-17 01:25:13 +0800, BMP280, 29.193350, 998.922180
2018-08-17 01:25:43 +0800, BMP280, 29.195358, 998.941956
2018-08-17 01:26:13 +0800, BMP280, 29.193350, 998.916809
2018-08-17 01:26:43 +0800, BMP280, 29.192347, 998.931519
2018-08-17 01:27:13 +0800, BMP280, 29.197365, 998.939636
2018-08-17 01:27:43 +0800, BMP280, 29.195358, 998.914551
2018-08-17 01:28:13 +0800, BMP280, 29.196362, 998.965393
2018-08-17 01:28:43 +0800, BMP280, 29.198370, 998.946777
2018-08-17 01:29:13 +0800, BMP280, 29.202385, 998.980652
2018-08-17 01:29:43 +0800, BMP280, 29.201380, 998.924377
2018-08-17 01:30:13 +0800, BMP280, 29.201380, 998.924438
2018-08-17 01:30:43 +0800, BMP280, 29.201380, 998.935303
2018-08-17 01:31:13 +0800, BMP280, 29.203388, 998.922241
2018-08-17 01:31:44 +0800, BMP280, 29.203388, 998.944153
2018-08-17 01:32:14 +0800, BMP280, 29.203388, 998.922241
2018-08-17 01:32:44 +0800, BMP280, 29.204391, 998.940369
2018-08-17 01:33:14 +0800, BMP280, 29.201380, 998.897156
2018-08-17 01:33:44 +0800, BMP280, 29.202385, 998.904236
2018-08-17 01:34:14 +0800, BMP280, 29.205397, 998.914612
2018-08-17 01:34:44 +0800, BMP280, 29.207403, 998.885254
2018-08-17 01:35:14 +0800, BMP280, 29.208406, 998.925049
2018-08-17 01:35:44 +0800, BMP280, 29.204391, 998.902100
2018-08-17 01:36:14 +0800, BMP280, 29.207403, 998.890686
2018-08-17 01:36:44 +0800, BMP280, 29.204391, 998.869324
2018-08-17 01:37:14 +0800, BMP280, 29.205397, 998.881897
2018-08-17 01:37:44 +0800, BMP280, 29.207403, 998.923462
2018-08-17 01:38:14 +0800, BMP280, 29.211418, 998.929993
2018-08-17 01:38:44 +0800, BMP280, 29.213427, 998.911499
2018-08-17 01:39:14 +0800, BMP280, 29.210415, 998.950256
2018-08-17 01:39:44 +0800, BMP280, 29.209412, 998.937683
2018-08-17 01:40:14 +0800, BMP280, 29.213427, 998.927795
2018-08-17 01:40:44 +0800, BMP280, 29.209412, 998.932190
2018-08-17 01:41:14 +0800, BMP280, 29.211418, 998.924561
2018-08-17 01:41:44 +0800, BMP280, 29.215433, 998.947449
2018-08-17 01:42:14 +0800, BMP280, 29.212421, 998.947998
2018-08-17 01:42:44 +0800, BMP280, 29.214430, 998.913086
2018-08-17 01:43:14 +0800, BMP280, 29.219448, 998.932251
2018-08-17 01:43:44 +0800, BMP280, 29.216436, 998.921875
2018-08-17 01:44:14 +0800, BMP280, 29.217442, 998.934326
2018-08-17 01:44:44 +0800, BMP280, 29.217442, 998.912598
2018-08-17 01:45:14 +0800, BMP280, 29.218445, 998.892334
2018-08-17 01:45:44 +0800, BMP280, 29.217442, 998.917969
2018-08-17 01:46:14 +0800, BMP280, 29.217442, 998.912598
2018-08-17 01:46:44 +0800, BMP280, 29.218445, 998.892334
2018-08-17 01:47:14 +0800, BMP280, 29.221457, 998.913635
2018-08-17 01:47:44 +0800, BMP280, 29.218445, 998.892334
2018-08-17 01:48:14 +0800, BMP280, 29.225471, 998.849304
2018-08-17 01:48:44 +0800, BMP280, 29.225471, 998.887512
2018-08-17 01:49:14 +0800, BMP280, 29.221457, 998.891907
2018-08-17 01:49:44 +0800, BMP280, 29.225471, 998.887573
2018-08-17 01:50:14 +0800, BMP280, 29.221457, 998.853638
2018-08-17 01:50:44 +0800, BMP280, 29.220451, 998.851990
2018-08-17 01:51:14 +0800, BMP280, 29.225471, 998.909363
2018-08-17 01:51:44 +0800, BMP280, 29.220451, 998.879211
2018-08-17 01:52:14 +0800, BMP280, 29.226475, 998.894592
2018-08-17 01:52:45 +0800, BMP280, 29.227478, 998.874390
2018-08-17 01:53:15 +0800, BMP280, 29.223463, 998.873291
2018-08-17 01:53:45 +0800, BMP280, 29.227478, 998.868958
2018-08-17 01:54:15 +0800, BMP280, 29.223463, 998.873291
2018-08-17 01:54:45 +0800, BMP280, 29.224466, 998.858582
2018-08-17 01:55:15 +0800, BMP280, 29.229486, 998.850342
2018-08-17 01:55:45 +0800, BMP280, 29.226475, 998.867310
2018-08-17 01:56:15 +0800, BMP280, 29.225471, 998.876587
2018-08-17 01:56:45 +0800, BMP280, 29.226475, 998.878174
2018-08-17 01:57:15 +0800, BMP280, 29.230490, 998.890320
2018-08-17 01:57:45 +0800, BMP280, 29.223463, 998.867859
2018-08-17 01:58:15 +0800, BMP280, 29.225471, 998.860229
2018-08-17 01:58:45 +0800, BMP280, 29.221457, 998.875427
